,count,mean,std,min,25%,50%,75%,max
Time,1156.0,8640.0,5007.763323729817,0.0,4320.0,8640.0,12960.0,17280.0
Forklifts utilization,1156.0,0.9230207612456747,0.12071059269030664,0.0,0.845,0.9824999999999999,0.994,0.997
Unloading docks utilization,1156.0,0.9965397923875432,0.058747085546574984,0.0,1.0,1.0,1.0,1.0
Loading docks utilization,1156.0,0.6027932525951557,0.14737205497131314,0.0,0.52,0.602,0.713,0.789
Storage utilization,1156.0,0.4237387543252595,0.2856693319021883,0.0,0.28274999999999995,0.3825,0.515,1.0
Truck unloading mean time,1156.0,158.51952249134948,59.26121023068593,0.0,118.713,148.801,156.992,279.233
Truck loading mean time,1156.0,81.83834169550174,17.470992396576627,0.0,73.032,77.849,90.28875000000001,106.01
Order assembling mean time,1156.0,253.92479065743942,39.61907569029773,0.0,242.63774999999998,266.323,271.007,297.873
Order loading mean waiting time,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Predicted assembling time,1156.0,253.92479065743947,36.088666537114044,18.23410734457991,245.65709593777947,259.01442856420755,270.18710783333717,289.99638184905257
