,count,mean,std,min,25%,50%,75%,max
Unnamed: 3,289.0,8640.0,5014.279609275893,0.0,4320.0,8640.0,12960.0,17280.0
Forklifts utilization,289.0,0.9803356401384083,0.07859050079779253,0.0,0.99,0.995,0.997,0.997
Unloading docks utilization,289.0,0.9965397923875432,0.0588235294117647,0.0,1.0,1.0,1.0,1.0
Loading docks utilization,289.0,0.48781314878892734,0.08114039423437032,0.0,0.495,0.513,0.52,0.531
Storage utilization,289.0,0.4208512110726644,0.051148768655624,0.0,0.384,0.417,0.457,0.515
Time,289.0,8640.0,5014.279609275893,0.0,4320.0,8640.0,12960.0,17280.0
Truck unloading mean time,289.0,240.16048442906575,57.17871033442053,0.0,226.354,268.575,271.973,279.233
Truck loading mean time,289.0,71.62173010380623,10.433881731285757,0.0,69.887,73.874,77.003,77.895
Order assembling mean waiting time,289.0,386.30541176470587,84.74453278821623,0.0,396.154,414.401,430.031,440.322
Order assembling mean time,289.0,264.20448788927337,42.4875956534427,0.0,246.133,284.737,290.8,297.873
Order loading mean waiting time,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean pallet put time,289.0,1594.017321799308,8308.842493071723,0.0,23.505,23.936,24.402,45407.0
Mean pallet pickup time,289.0,808.6076228373702,5934.250176161751,0.0,20.986,22.969,25.152,45529.0
Predicted assembling time,289.0,264.20448788927337,40.27911008914831,18.23410734457991,255.69655316862588,279.3462311974049,286.72212700472534,289.99638184905257
